name,type,rarity,icon_path
A Thousand Blazing Suns,Claymore,5,./images/weapon_icons/a_thousand_blazing_suns.png?strip=all&quality=100&w=160
A Thousand Floating Dreams,Catalyst,5,./images/weapon_icons/a_thousand_floating_dreams.png?strip=all&quality=100&w=160
Absolution,Sword,5,./images/weapon_icons/absolution.png?strip=all&quality=100&w=160
Amos' Bow,Bow,5,./images/weapon_icons/amos'_bow.png?strip=all&quality=100&w=160
Aqua Simulacra,Bow,5,./images/weapon_icons/aqua_simulacra.png?strip=all&quality=100&w=160
Aquila Favonia,Sword,5,./images/weapon_icons/aquila_favonia.png?strip=all&quality=100&w=160
Astral Vulture's Crimson Plumage,Bow,5,./images/weapon_icons/astral_vulture's_crimson_plumage.png?strip=all&quality=100&w=160
Azurelight,Sword,5,./images/weapon_icons/azurelight.png?strip=all&quality=100&w=160
Beacon of the Reed Sea,Claymore,5,./images/weapon_icons/beacon_of_the_reed_sea.png?strip=all&quality=100&w=160
Bloodsoaked Ruins,Polearm,5,./images/weapon_icons/bloodsoaked_ruins.png?strip=all&quality=100&w=160
Calamity Queller,Polearm,5,./images/weapon_icons/calamity_queller.png?strip=all&quality=100&w=160
Cashflow Supervision,Catalyst,5,./images/weapon_icons/cashflow_supervision.png?strip=all&quality=100&w=160
Crane's Echoing Call,Catalyst,5,./images/weapon_icons/crane's_echoing_call.png?strip=all&quality=100&w=160
Crimson Moon's Semblance,Polearm,5,./images/weapon_icons/crimson_moon's_semblance.png?strip=all&quality=100&w=160
Elegy for the End,Bow,5,./images/weapon_icons/elegy_for_the_end.png?strip=all&quality=100&w=160
Engulfing Lightning,Polearm,5,./images/weapon_icons/engulfing_lightning.png?strip=all&quality=100&w=160
Everlasting Moonglow,Catalyst,5,./images/weapon_icons/everlasting_moonglow.png?strip=all&quality=100&w=160
Fang of the Mountain King,Claymore,5,./images/weapon_icons/fang_of_the_mountain_king.png?strip=all&quality=100&w=160
Fractured Halo,Polearm,5,./images/weapon_icons/fractured_halo.png?strip=all&quality=100&w=160
Freedom-Sworn,Sword,5,./images/weapon_icons/freedom-sworn.png?strip=all&quality=100&w=160
Haran Geppaku Futsu,Sword,5,./images/weapon_icons/haran_geppaku_futsu.png?strip=all&quality=100&w=160
Hunter's Path,Bow,5,./images/weapon_icons/hunter's_path.png?strip=all&quality=100&w=160
Jadefall's Splendor,Catalyst,5,./images/weapon_icons/jadefall's_splendor.png?strip=all&quality=100&w=160
Kagura's Verity,Catalyst,5,./images/weapon_icons/kagura's_verity.png?strip=all&quality=100&w=160
Key of Khaj-Nisut,Sword,5,./images/weapon_icons/key_of_khaj-nisut.png?strip=all&quality=100&w=160
Light of Foliar Incision,Sword,5,./images/weapon_icons/light_of_foliar_incision.png?strip=all&quality=100&w=160
Lost Prayer to the Sacred Winds,Catalyst,5,./images/weapon_icons/lost_prayer_to_the_sacred_winds.png?strip=all&quality=100&w=160
Lumidouce Elegy,Polearm,5,./images/weapon_icons/lumidouce_elegy.png?strip=all&quality=100&w=160
Memory of Dust,Catalyst,5,./images/weapon_icons/memory_of_dust.png?strip=all&quality=100&w=160
Mistsplitter Reforged,Sword,5,./images/weapon_icons/mistsplitter_reforged.png?strip=all&quality=100&w=160
Nightweaver's Looking Glass,Catalyst,5,./images/weapon_icons/nightweaver's_looking_glass.png?strip=all&quality=100&w=160
Peak Patrol Song,Sword,5,./images/weapon_icons/peak_patrol_song.png?strip=all&quality=100&w=160
Polar Star,Bow,5,./images/weapon_icons/polar_star.png?strip=all&quality=100&w=160
Primordial Jade Cutter,Sword,5,./images/weapon_icons/primordial_jade_cutter.png?strip=all&quality=100&w=160
Primordial Jade Winged-Spear,Polearm,5,./images/weapon_icons/primordial_jade_winged-spear.png?strip=all&quality=100&w=160
Redhorn Stonethresher,Claymore,5,./images/weapon_icons/redhorn_stonethresher.png?strip=all&quality=100&w=160
Silvershower Heartstrings,Bow,5,./images/weapon_icons/silvershower_heartstrings.png?strip=all&quality=100&w=160
Skyward Atlas,Catalyst,5,./images/weapon_icons/skyward_atlas.png?strip=all&quality=100&w=160
Skyward Blade,Sword,5,./images/weapon_icons/skyward_blade.png?strip=all&quality=100&w=160
Skyward Harp,Bow,5,./images/weapon_icons/skyward_harp.png?strip=all&quality=100&w=160
Skyward Pride,Claymore,5,./images/weapon_icons/skyward_pride.png?strip=all&quality=100&w=160
Skyward Spine,Polearm,5,./images/weapon_icons/skyward_spine.png?strip=all&quality=100&w=160
Song of Broken Pines,Claymore,5,./images/weapon_icons/song_of_broken_pines.png?strip=all&quality=100&w=160
Splendor of Tranquil Waters,Sword,5,./images/weapon_icons/splendor_of_tranquil_waters.png?strip=all&quality=100&w=160
Staff of Homa,Polearm,5,./images/weapon_icons/staff_of_homa.png?strip=all&quality=100&w=160
Staff of the Scarlet Sands,Polearm,5,./images/weapon_icons/staff_of_the_scarlet_sands.png?strip=all&quality=100&w=160
Starcaller's Watch,Catalyst,5,./images/weapon_icons/starcaller's_watch.png?strip=all&quality=100&w=160
Summit Shaper,Sword,5,./images/weapon_icons/summit_shaper.png?strip=all&quality=100&w=160
Sunny Morning Sleep-In,Catalyst,5,./images/weapon_icons/sunny_morning_sleep-in.png?strip=all&quality=100&w=160
Surf's Up,Catalyst,5,./images/weapon_icons/surf's_up.png?strip=all&quality=100&w=160
Symphonist of Scents,Polearm,5,./images/weapon_icons/symphonist_of_scents.png?strip=all&quality=100&w=160
The First Great Magic,Bow,5,./images/weapon_icons/the_first_great_magic.png?strip=all&quality=100&w=160
The Unforged,Claymore,5,./images/weapon_icons/the_unforged.png?strip=all&quality=100&w=160
Thundering Pulse,Bow,5,./images/weapon_icons/thundering_pulse.png?strip=all&quality=100&w=160
Tome of the Eternal Flow,Catalyst,5,./images/weapon_icons/tome_of_the_eternal_flow.png?strip=all&quality=100&w=160
